
Training Epoch [0/150]:  19%|▏| 8/43 [00:01<00:05,  6.62it/s, acc=0.5736904, dice=0.23209935, iou=0.13128



Training Epoch [0/150]:  84%|▊| 36/43 [00:05<00:01,  5.84it/s, acc=0.62345695, dice=0.2100318, iou=0.1173


Training Epoch [1/150]:  95%|▉| 41/43 [00:05<00:00,  5.30it/s, acc=0.4887371, dice=0.29963395, iou=0.1762




Training Epoch [2/150]:  77%|▊| 33/43 [00:04<00:01,  7.85it/s, acc=0.417881, dice=0.3510899, iou=0.212922






Training Epoch [4/150]:  84%|▊| 36/43 [00:04<00:00,  8.00it/s, acc=0.44883728, dice=0.32443073, iou=0.193


Validation Epoch [5/150]:  40%|▍| 2/5 [00:00<00:00,  8.47it/s, acc_val=0.42967415, iou_val=0.18798661, lo




Training Epoch [7/150]:   5%| | 2/43 [00:00<00:05,  7.60it/s, acc=0.40533638, dice=0.33365607, iou=0.2002



Training Epoch [7/150]:  74%|▋| 32/43 [00:04<00:01,  8.91it/s, acc=0.43227577, dice=0.31083193, iou=0.184
Epoch     8: reducing learning rate of group 0 to 1.0000e-08.


























Training Epoch [15/150]:  81%|▊| 35/43 [00:04<00:00,  9.80it/s, acc=0.53814316, dice=0.2939897, iou=0.172
















Training Epoch [20/150]:  72%|▋| 31/43 [00:04<00:01,  7.30it/s, acc=0.71068764, dice=0.12075472, iou=0.06











Training Epoch [23/150]:  79%|▊| 34/43 [00:06<00:01,  6.64it/s, acc=0.53515434, dice=0.3058093, iou=0.180




































Training Epoch [34/150]:  77%|▊| 33/43 [00:04<00:01,  8.26it/s, acc=0.48283386, dice=0.34561285, iou=0.20














































































Training Epoch [57/150]:  74%|▋| 32/43 [00:04<00:01,  7.72it/s, acc=0.47566223, dice=0.33765095, iou=0.20
























































Training Epoch [73/150]:  72%|▋| 31/43 [00:04<00:02,  5.29it/s, acc=0.5406666, dice=0.3060276, iou=0.1806












Training Epoch [77/150]:  70%|▋| 30/43 [00:04<00:01,  7.78it/s, acc=0.53446007, dice=0.28963336, iou=0.16
















Training Epoch [82/150]:  77%|▊| 33/43 [00:04<00:01,  7.35it/s, acc=0.53617096, dice=0.31786817, iou=0.18
















Training Epoch [87/150]:  74%|▋| 32/43 [00:04<00:01,  7.52it/s, acc=0.5287533, dice=0.3365476, iou=0.2023









Training Epoch [90/150]:  74%|▋| 32/43 [00:04<00:01,  7.29it/s, acc=0.5228634, dice=0.33559886, iou=0.201














Training Epoch [94/150]:  81%|▊| 35/43 [00:04<00:00,  8.97it/s, acc=0.4625473, dice=0.36541182, iou=0.223






